P,Temp.,Flow,Purge,Cool
200.0,300.0,10800.0,0.0,-150.0
950.0,300.0,10800.0,0.0,-30.0
200.0,600.0,10800.0,0.0,-30.0
950.0,600.0,10800.0,0.0,-150.0
200.0,300.0,16800.0,0.0,-30.0
950.0,300.0,16800.0,0.0,-150.0
200.0,600.0,16800.0,0.0,-150.0
950.0,600.0,16800.0,0.0,-30.0
200.0,300.0,10800.0,25.0,-150.0
950.0,300.0,10800.0,25.0,-30.0
200.0,600.0,10800.0,25.0,-30.0
950.0,600.0,10800.0,25.0,-150.0
200.0,300.0,16800.0,25.0,-30.0
950.0,300.0,16800.0,25.0,-150.0
200.0,600.0,16800.0,25.0,-150.0
950.0,600.0,16800.0,25.0,-30.0
600.0,450.0,13800.0,15.0,-90.0
